"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Dec-2023","EQ","4,099.70","4,135.30","4,045.00","4,086.15","4,060.00","4,059.90","4,072.04","4,200.00","2,836.00","9,54,933","3,88,85,26,142.25","68,632"
"14-Dec-2023","EQ","4,058.00","4,100.00","4,045.00","4,032.75","4,080.00","4,086.15","4,078.98","4,200.00","2,836.00","9,22,658","3,76,35,06,841.05","87,374"
"13-Dec-2023","EQ","3,969.00","4,044.95","3,957.95","3,951.75","4,036.00","4,032.75","4,004.49","4,200.00","2,836.00","7,07,209","2,83,20,13,377.95","57,300"
"12-Dec-2023","EQ","4,047.45","4,047.45","3,936.15","4,025.65","3,959.85","3,951.75","3,969.46","4,200.00","2,836.00","9,81,121","3,89,45,24,955.35","60,887"
"11-Dec-2023","EQ","4,055.00","4,068.90","4,010.00","4,055.00","4,012.00","4,025.65","4,039.08","4,200.00","2,836.00","5,34,584","2,15,92,29,681.70","39,054"
"08-Dec-2023","EQ","4,100.00","4,112.40","4,028.80","4,091.00","4,047.30","4,055.00","4,059.34","4,200.00","2,836.00","3,34,252","1,35,68,42,351.70","28,785"
"07-Dec-2023","EQ","4,050.00","4,135.00","4,048.00","4,047.00","4,097.40","4,091.00","4,088.61","4,200.00","2,836.00","6,99,553","2,86,02,00,548.80","66,667"
"06-Dec-2023","EQ","4,088.05","4,127.95","4,025.00","4,136.50","4,049.75","4,047.00","4,065.24","4,200.00","2,836.00","9,41,566","3,82,76,89,522.00","74,212"
"05-Dec-2023","EQ","4,181.00","4,195.25","4,100.00","4,180.35","4,140.00","4,136.50","4,147.48","4,200.00","2,836.00","10,45,885","4,33,77,91,576.00","79,570"
"04-Dec-2023","EQ","3,950.00","4,200.00","3,916.00","3,891.20","4,181.00","4,180.35","4,087.05","4,200.00","2,836.00","28,24,695","11,54,46,65,132.45","1,63,418"
"01-Dec-2023","EQ","3,922.00","3,950.00","3,882.05","3,896.90","3,892.85","3,891.20","3,918.18","3,950.00","2,836.00","6,83,211","2,67,69,44,058.95","59,320"
"30-Nov-2023","EQ","3,857.95","3,920.00","3,828.05","3,812.25","3,885.00","3,896.90","3,886.22","3,920.00","2,836.00","13,38,711","5,20,25,26,724.55","93,524"
"29-Nov-2023","EQ","3,852.00","3,852.00","3,791.00","3,826.70","3,810.00","3,812.25","3,818.62","3,920.00","2,836.00","4,14,180","1,58,15,96,152.45","40,160"
"28-Nov-2023","EQ","3,855.95","3,892.15","3,777.75","3,849.05","3,840.00","3,826.70","3,822.38","3,920.00","2,836.00","5,05,274","1,93,13,47,671.20","46,615"
"24-Nov-2023","EQ","3,895.70","3,920.00","3,842.05","3,883.80","3,846.00","3,849.05","3,863.50","3,920.00","2,836.00","2,66,314","1,02,89,03,592.75","31,201"
"23-Nov-2023","EQ","3,836.55","3,915.00","3,833.00","3,833.80","3,875.00","3,883.80","3,891.94","3,915.00","2,836.00","7,64,501","2,97,53,95,501.50","63,749"
"22-Nov-2023","EQ","3,830.10","3,854.40","3,805.00","3,844.20","3,834.00","3,833.80","3,830.46","3,898.90","2,836.00","2,86,194","1,09,62,54,606.35","29,196"
"21-Nov-2023","EQ","3,865.00","3,865.60","3,826.05","3,846.45","3,835.00","3,844.20","3,846.60","3,898.90","2,836.00","2,60,475","1,00,19,43,865.90","34,379"
"20-Nov-2023","EQ","3,850.55","3,898.90","3,824.00","3,865.30","3,836.95","3,846.45","3,856.19","3,898.90","2,836.00","2,49,897","96,36,51,212.60","33,514"
"17-Nov-2023","EQ","3,824.90","3,898.00","3,816.90","3,836.75","3,859.10","3,865.30","3,870.03","3,898.00","2,836.00","4,76,357","1,84,35,16,119.50","46,649"
"16-Nov-2023","EQ","3,848.05","3,873.00","3,813.15","3,848.30","3,835.00","3,836.75","3,839.84","3,873.00","2,836.00","7,55,583","2,90,13,17,786.80","90,912"
"15-Nov-2023","EQ","3,689.00","3,860.00","3,672.10","3,645.40","3,840.00","3,848.30","3,795.37","3,860.00","2,836.00","19,14,550","7,26,64,29,086.00","1,31,131"
"13-Nov-2023","EQ","3,590.00","3,675.00","3,586.00","3,579.30","3,639.75","3,645.40","3,651.99","3,748.00","2,836.00","8,75,885","3,19,87,21,489.50","63,431"
"12-Nov-2023","EQ","3,590.00","3,611.55","3,570.00","3,540.75","3,575.30","3,579.30","3,581.58","3,791.95","2,836.00","1,13,586","40,68,16,872.85","9,190"
"10-Nov-2023","EQ","3,540.00","3,565.00","3,502.10","3,541.90","3,547.00","3,540.75","3,530.00","3,791.95","2,836.00","2,59,237","91,51,07,367.45","29,667"
"09-Nov-2023","EQ","3,545.30","3,596.40","3,526.10","3,550.30","3,548.00","3,541.90","3,563.51","3,791.95","2,836.00","5,38,782","1,91,99,56,657.00","65,132"
"08-Nov-2023","EQ","3,510.00","3,565.00","3,505.85","3,509.05","3,550.00","3,550.30","3,542.71","3,791.95","2,836.00","3,93,482","1,39,39,92,675.65","58,295"
"07-Nov-2023","EQ","3,480.10","3,538.95","3,480.10","3,510.95","3,515.00","3,509.05","3,515.64","3,791.95","2,836.00","3,35,436","1,17,92,71,126.20","41,899"
"06-Nov-2023","EQ","3,454.90","3,543.45","3,437.45","3,428.00","3,517.85","3,510.95","3,513.58","3,791.95","2,836.00","7,22,080","2,53,70,87,870.10","67,579"
